datetime,open,close,high,low,volume,money
2023-01-03,26.08,25.86,26.24,25.78,23435423.0,608704911.0
2023-01-04,25.82,26.89,27.12,25.79,37800329.0,1009131366.0
2023-01-05,26.86,27.83,28.19,26.8,31960648.0,886209202.0
2023-01-06,27.74,27.56,27.93,27.28,19531374.0,538547739.0
2023-01-09,27.79,28.02,28.5,27.48,21019313.0,588381820.0
2023-01-10,28.01,27.77,28.22,27.35,20216892.0,559933131.0
2023-01-11,27.75,27.42,27.91,27.34,12638029.0,348435661.0
2023-01-12,27.44,27.4,27.77,27.22,13823027.0,379040962.0
2023-01-13,27.52,28.23,28.23,27.09,23228976.0,648135590.0
2023-01-16,27.5,26.95,27.82,26.79,44329257.0,1206205771.0
2023-01-17,27.25,26.85,27.25,26.47,17701988.0,473719554.0
2023-01-18,26.74,26.94,26.98,26.64,10425125.0,279747150.0
2023-01-19,26.93,27.55,27.81,26.77,20720419.0,568282092.0
2023-01-20,27.45,27.26,27.88,27.15,13434781.0,368584215.0
2023-01-30,27.53,26.65,27.64,26.41,24782814.0,660932914.0
2023-01-31,26.73,26.63,27.02,26.5,15625167.0,417428603.0
2023-02-01,26.55,26.62,26.84,26.12,17346235.0,460378793.0
2023-02-02,26.71,27.66,28.2,26.62,27471259.0,760413564.0
2023-02-03,27.64,28.62,28.77,27.53,30025110.0,850555620.0
2023-02-06,28.42,28.82,29.58,28.42,29548083.0,858931981.0
2023-02-07,28.53,28.33,29.04,28.28,18357114.0,524819513.0
2023-02-08,28.33,29.51,29.78,28.08,27645413.0,810862102.0
2023-02-09,29.59,29.59,30.0,29.36,17195579.0,510010971.0
2023-02-10,29.43,29.36,29.96,28.96,16263384.0,477294482.0
2023-02-13,29.23,29.12,30.37,29.06,20289944.0,599877039.0
2023-02-14,29.4,29.5,29.72,28.96,13104557.0,385226643.0
2023-02-15,29.82,28.62,29.82,28.42,19675810.0,565648076.0
2023-02-16,28.75,28.32,28.89,28.17,13340837.0,380866942.0
2023-02-17,28.37,28.27,28.6,28.04,13321311.0,376425186.0
2023-02-20,28.28,28.74,28.85,27.64,17236355.0,487679817.0
2023-02-21,28.75,28.72,28.75,28.33,8030162.0,229361654.0
2023-02-22,28.59,28.46,29.27,28.42,12250174.0,351972957.0
2023-02-23,28.33,28.19,28.64,28.08,7197384.0,203490025.0
2023-02-24,28.3,27.91,28.3,27.79,8087521.0,226324002.0
2023-02-27,27.93,27.98,28.31,27.79,9012627.0,252360902.0
2023-02-28,27.98,28.29,28.83,27.93,12765136.0,362636593.0
2023-03-01,28.13,28.05,28.51,27.49,13428992.0,375109351.0
2023-03-02,27.96,27.69,27.96,27.46,9159508.0,253472675.0
2023-03-03,27.69,27.5,27.84,27.32,8012181.0,220878164.0
2023-03-06,27.55,27.93,28.03,27.25,14143796.0,391912607.0
2023-03-07,27.91,27.25,28.16,27.22,13288184.0,367000144.0
2023-03-08,27.08,26.95,27.47,26.82,13004788.0,352338826.0
2023-03-09,27.09,26.78,27.18,26.7,10449729.0,280551474.0
2023-03-10,26.78,26.68,27.04,26.57,12409164.0,332661731.0
2023-03-13,26.46,27.09,27.43,26.31,14905982.0,402187623.0
2023-03-14,27.27,26.95,28.23,26.95,18430864.0,509004960.0
