datetime,open,close,high,low,volume,money
2023-01-03,4.84,4.87,4.87,4.81,76860486.0,372173228.0
2023-01-04,4.84,4.85,4.86,4.82,87909179.0,425278877.0
2023-01-05,4.83,4.84,4.85,4.82,78660775.0,380338343.0
2023-01-06,4.84,4.83,4.85,4.83,65922123.0,318747371.0
2023-01-09,4.85,4.84,4.85,4.83,68383883.0,330873003.0
2023-01-10,4.84,4.82,4.85,4.82,54570446.0,263568386.0
2023-01-11,4.83,4.83,4.86,4.82,79236629.0,383423924.0
2023-01-12,4.85,4.9,4.91,4.84,116790955.0,570154115.0
2023-01-13,4.9,4.95,4.95,4.89,106388828.0,524451518.0
2023-01-16,4.96,4.96,4.98,4.93,105936717.0,525867950.0
2023-01-17,4.96,4.94,4.96,4.92,75652516.0,373258241.0
2023-01-18,4.95,4.95,4.97,4.93,75910027.0,375479195.0
2023-01-19,4.95,4.95,4.95,4.92,86067918.0,424551110.0
2023-01-20,4.98,5.04,5.06,4.98,170581209.0,857520771.0
2023-01-30,5.09,5.06,5.1,5.02,143148438.0,724596969.0
2023-01-31,5.04,5.02,5.07,5.01,104981225.0,528747266.0
2023-02-01,5.03,5.05,5.06,5.01,122172308.0,615762967.0
2023-02-02,5.04,5.03,5.04,5.0,103035125.0,517674069.0
2023-02-03,5.01,5.02,5.03,4.98,113701562.0,569107325.0
2023-02-06,4.99,5.0,5.01,4.97,84895629.0,423853320.0
2023-02-07,5.01,5.02,5.04,5.0,70333391.0,353259942.0
2023-02-08,5.06,5.0,5.06,4.99,83861867.0,422281180.0
2023-02-09,5.01,5.02,5.03,5.0,56635357.0,284175674.0
2023-02-10,5.01,4.99,5.02,4.98,67729601.0,338556924.0
2023-02-13,5.0,5.0,5.02,4.98,79972730.0,400015798.0
2023-02-14,5.01,5.02,5.02,4.99,52452881.0,262841506.0
2023-02-15,5.01,5.0,5.02,4.98,71043178.0,355163751.0
2023-02-16,5.0,5.0,5.06,4.99,149655398.0,753082101.0
2023-02-17,5.0,5.0,5.04,4.99,84169425.0,422054818.0
2023-02-20,5.0,5.09,5.1,4.99,156408409.0,792181630.0
2023-02-21,5.09,5.11,5.15,5.08,130337011.0,666045211.0
2023-02-22,5.1,5.09,5.13,5.08,73090988.0,372941351.0
2023-02-23,5.1,5.1,5.13,5.07,95929457.0,489305725.0
2023-02-24,5.1,5.08,5.11,5.06,72695646.0,369312965.0
2023-02-27,5.07,5.06,5.1,5.06,63742601.0,323920000.0
2023-02-28,5.07,5.08,5.08,5.04,80379479.0,407149028.0
2023-03-01,5.07,5.13,5.14,5.06,122501035.0,626730730.0
2023-03-02,5.13,5.21,5.24,5.11,196995703.0,1022773481.0
2023-03-03,5.22,5.34,5.36,5.2,246520066.0,1307700110.0
2023-03-06,5.36,5.35,5.46,5.32,203812604.0,1094943856.0
2023-03-07,5.37,5.48,5.67,5.36,461326182.0,2558295973.0
2023-03-08,5.39,5.41,5.44,5.35,197916074.0,1068594051.0
2023-03-09,5.39,5.41,5.51,5.39,157900280.0,858210571.0
2023-03-10,5.38,5.29,5.43,5.28,185050573.0,988683903.0
2023-03-13,5.32,5.52,5.52,5.31,258425468.0,1406885454.0
2023-03-14,5.48,5.39,5.52,5.35,210661233.0,1143522143.0
2023-03-15,5.39,5.49,5.56,5.34,229688482.0,1252531150.0
2023-03-16,5.39,5.32,5.41,5.31,247027279.0,1323381137.0
2023-03-17,5.35,5.66,5.72,5.33,538844482.0,3004463767.0
2023-03-20,5.63,5.61,5.82,5.58,438636210.0,2502695464.0
2023-03-21,5.63,5.52,5.67,5.46,232205058.0,1283749320.0
2023-03-22,5.54,5.54,5.62,5.5,153775395.0,853797496.0
2023-03-23,5.53,5.61,5.63,5.5,191168820.0,1064222015.0
2023-03-24,5.58,5.48,5.58,5.47,187713227.0,1031542148.0
2023-03-27,5.44,5.42,5.44,5.34,163652925.0,881552429.0
2023-03-28,5.49,5.51,5.57,5.43,179673345.0,988182291.0
2023-03-29,5.55,5.45,5.55,5.43,127145783.0,695506665.0
2023-03-30,5.54,5.83,5.86,5.53,591062740.0,3403189911.0
2023-03-31,5.82,5.75,5.84,5.73,214352357.0,1237145884.0
2023-04-03,5.88,5.83,6.0,5.8,351151573.0,2071494157.0
2023-04-04,5.87,5.99,6.06,5.83,302659326.0,1805461310.0
2023-04-06,5.95,6.0,6.02,5.91,188268175.0,1124653839.0
2023-04-07,5.98,5.97,6.03,5.94,123315997.0,736244430.0
2023-04-10,5.98,6.28,6.31,5.98,348342252.0,2163040596.0
2023-04-11,6.24,6.37,6.41,6.19,284447576.0,1798648200.0
2023-04-12,6.38,6.64,6.67,6.38,320667606.0,2106278659.0
2023-04-13,6.66,6.59,6.94,6.55,467346435.0,3135648701.0
2023-04-14,6.59,6.7,6.74,6.51,283455201.0,1886902141.0
2023-04-17,6.67,7.13,7.16,6.63,438039071.0,3052584837.0
2023-04-18,7.08,7.08,7.13,6.96,278320049.0,1957647422.0
2023-04-19,7.03,6.99,7.24,6.96,263164647.0,1856897646.0
2023-04-20,6.92,7.11,7.15,6.86,288359548.0,2017221138.0
2023-04-21,7.04,7.08,7.31,6.99,282609953.0,2023327497.0
2023-04-24,7.08,7.11,7.21,7.0,241333599.0,1716641183.0
2023-04-25,7.15,7.4,7.41,7.14,348333414.0,2548347641.0
2023-04-26,7.29,7.33,7.38,7.17,266099034.0,1934923944.0
2023-04-27,7.2,7.29,7.34,7.09,212146210.0,1536494449.0
2023-04-28,7.26,7.67,7.67,7.22,282832297.0,2112599054.0
2023-05-04,7.37,7.78,7.93,7.34,365964336.0,2784410997.0
2023-05-05,7.78,7.74,7.81,7.57,243087902.0,1866190077.0
2023-05-08,7.79,8.34,8.34,7.79,359314213.0,2916760204.0
2023-05-09,8.35,7.86,8.39,7.86,424582588.0,3452312934.0
2023-05-10,7.86,7.55,7.9,7.42,426041535.0,3230949147.0
2023-05-11,7.53,7.41,7.56,7.35,207667236.0,1546282627.0
2023-05-12,7.44,7.29,7.62,7.28,276781883.0,2053507037.0
2023-05-15,7.21,7.26,7.3,7.03,302897570.0,2171734433.0
2023-05-16,7.24,7.31,7.53,7.21,223829802.0,1647173396.0
