stock_id,_stock_name,_time,_quarter,因子名称,个股取值,行业名称,行业均值,行业中值,行业排名
002932.XSHE,明德生物,2021-10-25,2021Q3,每股收益(元),3.8882,生物,3.8882,0.09625,5|412
002932.XSHE,明德生物,2021-10-26,2021Q4,每股收益(元),13.2443,生物,13.2443,0.12295,5|428
002932.XSHE,明德生物,2021-10-27,2022Q1,每股收益(元),8.7799,生物,8.7799,0.0906,1|375
002932.XSHE,明德生物,2021-10-28,2022Q2,每股收益(元),6.9017,生物,6.9017,0.072,100|300
002932.XSHE,明德生物,2021-10-25,2021Q3,每股公积金(元),8.624274031,生物,4.308867278,2.121521958,52|412
002932.XSHE,明德生物,2021-10-26,2021Q4,每股公积金(元),8.698515229,生物,4.48781305,2.290188484,62|428
002932.XSHE,明德生物,2021-10-27,2022Q1,每股公积金(元),5.559136837,生物,3.094492072,1.80185682,19|119
002932.XSHE,明德生物,2021-10-28,2022Q2,每股公积金(元),5.609832692,生物,3.640833335,1.942940256,67|375
002932.XSHE,明德生物,2021-10-25,2021Q3,流通市值(亿元),44.4851,生物,4.308867278,57.64965,245|412
002932.XSHE,明德生物,2021-10-26,2021Q4,流通市值(亿元),58.4318,生物,4.48781305,54.07945,200|428
002932.XSHE,明德生物,2021-10-27,2022Q1,流通市值(亿元),69.895,生物,3.094492072,42.653,45|119
002932.XSHE,明德生物,2021-10-28,2022Q2,流通市值(亿元),57.0017,生物,3.640833335,36.1347,135|375
002932.XSHE,明德生物,2021-10-25,2021Q3,流通股本(亿股),0.6011499,生物,5.961972516,150.7597379,337|412
002932.XSHE,明德生物,2021-10-26,2021Q4,流通股本(亿股),0.6011499,生物,5.821739791,131.331565,346|428
002932.XSHE,明德生物,2021-10-27,2022Q1,流通股本(亿股),5.559136837,生物,3.094492072,1.80185682,101|119
002932.XSHE,明德生物,2021-10-28,2022Q2,流通股本(亿股),1.02043789,生物,11.60802901,115.5400768,302|375
002932.XSHE,明德生物,2021-10-25,2021Q3,每股经营现金流(元),8.624274031,生物,3.226544328,0.238063533,12|412
002932.XSHE,明德生物,2021-10-26,2021Q4,每股经营现金流(元),2.76269695,生物,0.322539941,0.042211119,7|428
002932.XSHE,明德生物,2021-10-27,2022Q1,每股经营现金流(元),4.874593433,生物,0.306884237,0.080575958,2|119
002932.XSHE,明德生物,2021-10-28,2022Q2,每股经营现金流(元),5.373984939,生物,0.18255006,0.065179813,1|375
002932.XSHE,明德生物,2021-10-25,2021Q3,每股未分配利润(元),15.28556497,生物,3.274194262,2.119737668,11|412
002932.XSHE,明德生物,2021-10-26,2021Q4,每股未分配利润(元),28.52918305,生物,3.700646905,2.233555528,7|428
002932.XSHE,明德生物,2021-10-27,2022Q1,每股未分配利润(元),25.92327508,生物,2.774802423,1.652957103,2|119
002932.XSHE,明德生物,2021-10-28,2022Q2,每股未分配利润(元),31.3250051,生物,2.152208615,1.746656764,1|375
002932.XSHE,明德生物,2021-10-28,2022Q2,每股未分配利润(元),31.3250051,生物,2.152208615,1.746656764,1|375

