股票代码,中文名称,每股收益(元),每股经营现金流(元),每股公积金(元),每股未分配利润(元),流通股本(亿股),流通市值(亿元),_quarter,stock_id,_stock_name,_selected_time
002136.XSHE,安纳达,0.06,0.23,1.63,0.55,2.14,17.21,2019-10-10,002136.XSHE,安纳达,2024-01-25
002913.XSHE,奥士康,0.73,0.88,10.08,4.89,0.36,18.59,2019-10-10,002913.XSHE,奥士康,2024-01-25
000400.XSHE,许继电气,0.09,0.08,0.82,5.57,10.08,85.29,2019-10-12,000400.XSHE,许继电气,2024-01-25
002261.XSHE,拓维信息,0.03,-0.02,1.75,-0.5,8.79,49.06,2019-10-12,002261.XSHE,拓维信息,2024-01-25
002408.XSHE,齐翔腾达,0.1,0.19,1.24,1.84,17.39,119.83,2019-10-12,002408.XSHE,齐翔腾达,2024-01-25
002714.XSHE,牧原股份,0.71,1.53,3.63,2.6,11.67,822.73,2019-10-12,002714.XSHE,牧原股份,2024-01-25
300359.XSHE,全通教育,0.01,0.04,1.6,-0.54,5.0,27.0,2019-10-12,300359.XSHE,全通教育,2024-01-25
600185.XSHG,格力地产,0.05,0.22,0.54,2.25,20.6,110.63,2019-10-15,600185.XSHG,格力地产,2024-01-25
603199.XSHG,九华旅游,0.24,0.52,3.01,6.05,1.11,27.37,2019-10-15,603199.XSHG,九华旅游,2024-01-25
002272.XSHE,川润股份,-0.01,-0.04,1.56,0.39,3.25,15.32,2019-10-15,002272.XSHE,川润股份,2024-01-25
002358.XSHE,ST森源,0.01,0.15,2.57,1.58,9.1,68.01,2019-10-15,002358.XSHE,ST森源,2024-01-25
002456.XSHE,欧菲光,0.06,0.66,1.17,1.04,26.68,317.5,2019-10-15,002456.XSHE,欧菲光,2024-01-25
300043.XSHE,星辉娱乐,0.17,0.34,0.07,1.32,9.15,42.54,2019-10-15,300043.XSHE,星辉娱乐,2024-01-25
300114.XSHE,中航电测,0.1,0.09,0.12,1.26,5.91,64.63,2019-10-15,300114.XSHE,中航电测,2024-01-25
300190.XSHE,维尔利,0.09,0.0,2.72,1.06,7.29,52.21,2019-10-15,300190.XSHE,维尔利,2024-01-25
300224.XSHE,正海磁材,0.04,0.12,1.51,0.68,7.36,52.85,2019-10-15,300224.XSHE,正海磁材,2024-01-25
300484.XSHE,蓝海华腾,-0.43,0.09,0.4,1.39,1.39,15.09,2019-10-15,300484.XSHE,蓝海华腾,2024-01-25
300487.XSHE,蓝晓科技,0.43,-0.09,1.7,3.01,1.1,38.42,2019-10-15,300487.XSHE,蓝晓科技,2024-01-25
300522.XSHE,世名科技,0.22,0.18,1.92,2.33,0.77,12.06,2019-10-15,300522.XSHE,世名科技,2024-01-25
300568.XSHE,星源材质,0.1,-0.22,6.68,2.53,1.29,35.53,2019-10-15,300568.XSHE,星源材质,2024-01-25
300752.XSHE,隆利科技,0.07,-0.1,3.2,2.38,0.29,8.79,2019-10-15,300752.XSHE,隆利科技,2024-01-25
600330.XSHG,天通股份,0.03,-0.02,2.47,0.55,9.97,66.57,2019-10-16,600330.XSHG,天通股份,2024-01-25
600481.XSHG,双良节能,0.04,0.05,0.03,0.11,16.27,53.19,2019-10-16,600481.XSHG,双良节能,2024-01-25
600519.XSHG,贵州茅台,8.36,2.57,1.09,83.93,12.56,14446.27,2019-10-16,600519.XSHG,贵州茅台,2024-01-25
600722.XSHG,金牛化工,0.01,0.04,2.42,-2.09,6.8,36.19,2019-10-16,600722.XSHG,金牛化工,2024-01-25
603798.XSHG,康普顿,0.07,-0.17,1.31,2.07,2.0,24.24,2019-10-16,603798.XSHG,康普顿,2024-01-25
000619.XSHE,海螺新材,0.05,0.29,1.22,3.89,3.6,19.22,2019-10-16,000619.XSHE,海螺新材,2024-01-25
000779.XSHE,甘咨询,0.15,0.3,2.87,1.02,1.86,21.57,2019-10-16,000779.XSHE,甘咨询,2024-01-25
002547.XSHE,春兴精工,0.01,0.3,1.05,0.12,7.63,66.75,2019-10-16,002547.XSHE,春兴精工,2024-01-25
002760.XSHE,凤形股份,0.14,0.05,2.69,2.21,0.73,12.58,2019-10-16,002760.XSHE,凤形股份,2024-01-25
300348.XSHE,长亮科技,0.03,-0.06,1.33,0.67,3.45,60.91,2019-10-16,300348.XSHE,长亮科技,2024-01-25
600456.XSHG,宝钛股份,0.14,0.03,5.51,1.61,4.3,115.66,2019-10-17,600456.XSHG,宝钛股份,2024-01-25
002455.XSHE,百川股份,0.04,0.12,0.81,0.8,3.94,24.58,2019-10-17,002455.XSHE,百川股份,2024-01-25
002462.XSHE,嘉事堂,0.29,0.92,4.39,5.57,2.51,38.26,2019-10-17,002462.XSHE,嘉事堂,2024-01-25
002846.XSHE,英联股份,0.11,0.28,1.11,1.13,0.53,6.55,2019-10-17,002846.XSHE,英联股份,2024-01-25
002876.XSHE,三利谱,0.22,-0.4,3.29,3.89,0.71,30.68,2019-10-17,002876.XSHE,三利谱,2024-01-25
600080.XSHG,金花股份,0.04,0.18,2.18,1.33,3.05,18.9,2019-10-18,600080.XSHG,金花股份,2024-01-25
600728.XSHG,佳都科技,0.23,-0.0,1.0,0.77,16.37,166.65,2019-10-18,600728.XSHG,佳都科技,2024-01-25
600805.XSHG,悦达投资,-0.13,-0.06,0.46,5.08,8.5,44.13,2019-10-18,600805.XSHG,悦达投资,2024-01-25
600812.XSHG,华北制药,0.01,0.1,2.14,0.08,16.31,116.28,2019-10-18,600812.XSHG,华北制药,2024-01-25
600876.XSHG,洛阳玻璃,0.06,0.09,3.52,-2.31,2.8,28.29,2019-10-18,600876.XSHG,洛阳玻璃,2024-01-25
601366.XSHG,利群股份,0.05,0.42,2.05,1.9,4.75,26.89,2019-10-18,601366.XSHG,利群股份,2024-01-25
601636.XSHG,旗滨集团,0.15,0.18,0.72,1.1,26.57,95.64,2019-10-18,601636.XSHG,旗滨集团,2024-01-25
601998.XSHG,中信银行,0.25,0.66,1.21,4.25,319.05,1799.45,2019-10-18,601998.XSHG,中信银行,2024-01-25
603008.XSHG,喜临门,0.34,0.43,3.58,1.82,3.2,39.75,2019-10-18,603008.XSHG,喜临门,2024-01-25
603026.XSHG,胜华新材,0.39,-0.14,2.06,4.84,2.03,72.6,2019-10-18,603026.XSHG,胜华新材,2024-01-25
603377.XSHG,东方时尚,0.15,0.2,0.96,0.9,5.88,129.01,2019-10-18,603377.XSHG,东方时尚,2024-01-25
603588.XSHG,高能环境,0.16,0.33,1.04,2.23,6.68,63.56,2019-10-18,603588.XSHG,高能环境,2024-01-25
603637.XSHG,镇海股份,0.12,0.68,1.49,1.36,0.44,7.04,2019-10-18,603637.XSHG,镇海股份,2024-01-25
603979.XSHG,金诚信,0.12,-0.01,2.73,3.19,5.83,48.19,2019-10-18,603979.XSHG,金诚信,2024-01-25
000026.XSHE,飞亚达,0.12,0.33,2.44,2.13,3.57,27.54,2019-10-18,000026.XSHE,飞亚达,2024-01-25
000404.XSHE,长虹华意,0.02,0.67,2.27,1.31,6.95,26.88,2019-10-18,000404.XSHE,长虹华意,2024-01-25
000514.XSHE,渝开发,-0.01,0.18,1.41,1.0,8.44,33.58,2019-10-18,000514.XSHE,渝开发,2024-01-25
000521.XSHE,长虹美菱,0.03,-0.16,2.57,0.88,8.02,25.99,2019-10-18,000521.XSHE,长虹美菱,2024-01-25
000703.XSHE,恒逸石化,0.33,0.45,3.46,3.07,22.83,296.97,2019-10-18,000703.XSHE,恒逸石化,2024-01-25
000739.XSHE,普洛药业,0.13,0.47,0.37,1.63,11.47,135.67,2019-10-18,000739.XSHE,普洛药业,2024-01-25
000799.XSHE,酒鬼酒,0.09,0.17,3.57,1.85,3.25,128.51,2019-10-18,000799.XSHE,酒鬼酒,2024-01-25
000819.XSHE,岳阳兴长,0.08,0.2,0.25,0.98,2.85,23.65,2019-10-18,000819.XSHE,岳阳兴长,2024-01-25
000851.XSHE,高鸿股份,0.01,0.04,2.17,0.6,8.57,43.87,2019-10-18,000851.XSHE,高鸿股份,2024-01-25
002124.XSHE,天邦食品,0.33,-0.02,0.85,0.17,9.41,108.41,2019-10-18,002124.XSHE,天邦食品,2024-01-25
002127.XSHE,南极电商,0.09,0.06,0.6,0.97,18.96,195.5,2019-10-18,002127.XSHE,南极电商,2024-01-25
002479.XSHE,富春环保,0.11,0.2,1.9,1.29,8.87,64.87,2019-10-18,002479.XSHE,富春环保,2024-01-25
002521.XSHE,齐峰新材,0.1,0.14,4.02,1.67,4.25,23.29,2019-10-18,002521.XSHE,齐峰新材,2024-01-25
002553.XSHE,南方精工,0.04,0.07,0.16,0.67,2.34,13.5,2019-10-18,002553.XSHE,南方精工,2024-01-25
002557.XSHE,洽洽食品,0.36,0.83,3.09,2.23,5.07,129.23,2019-10-18,002557.XSHE,洽洽食品,2024-01-25
